Calls,"June 17th, 2025 7:40PM",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT270115C00175000,2025-01-05 09:32:00,175,269.00,291.00,296.00,0.00,0.00%,1,1,0.00%
MSFT270115C00200000,2025-08-05 10:18:00,200,249.55,279.00,283.50,0.00,0.00%,2,10,49.39%
MSFT270115C00210000,6/13/2025 9:57 AM,210,279.00,276.05,281.00,0.00,0.00%,1,457,54.57%
MSFT270115C00220000,2025-09-06 13:44:00,220,265.55,267.15,272.00,0.00,0.00%,1,357,53.29%
MSFT270115C00230000,6/13/2025 10:38 AM,230,260.09,258.50,263.50,0.00,0.00%,1,144,52.43%
MSFT270115C00240000,2025-07-04 12:27:00,240,138.75,212.85,217.00,0.00,0.00%,1,154,0.00%
MSFT270115C00250000,6/13/2025 10:38 AM,250,242.41,240.50,245.50,0.00,0.00%,1,33,52.16%
MSFT270115C00260000,2025-05-06 09:47:00,260,220.10,231.55,236.45,0.00,0.00%,1,19,50.57%
MSFT270115C00270000,5/30/2025 10:17 AM,270,208.93,223.10,227.90,0.00,0.00%,1,85,49.45%
MSFT270115C00280000,2025-12-06 11:18:00,280,216.68,214.50,219.45,0.00,0.00%,1,138,48.38%
MSFT270115C00290000,2025-09-06 11:36:00,290,202.22,206.10,210.45,0.00,0.00%,6,2.507,46.85%
MSFT270115C00300000,6/16/2025 12:54 PM,300,202.20,197.65,201.75,0.00,0.00%,1,310,45.55%
MSFT270115C00310000,5/30/2025 1:20 PM,310,173.38,189.00,193.50,0.00,0.00%,20,99,44.57%
MSFT270115C00320000,2025-12-06 15:32:00,320,185.11,180.55,185.15,0.00,0.00%,3,96,43.48%
MSFT270115C00330000,2025-12-06 11:58:00,330,174.70,172.80,176.60,0.00,0.00%,1,662,42.23%
MSFT270115C00340000,2025-04-06 14:23:00,340,155.20,165.80,167.75,0.00,0.00%,2,82,40.78%
MSFT270115C00350000,6/16/2025 9:40 AM,350,159.80,157.95,159.80,0.00,0.00%,3,308,39.87%
MSFT270115C00360000,6/16/2025 1:17 PM,360,152.40,150.15,151.85,0.00,0.00%,1,143,38.92%
MSFT270115C00370000,6/17/2025 9:51 AM,370,141.00,142.45,143.95,-4.00,-2.76%,1,145,37.96%
MSFT270115C00380000,2025-12-06 14:30:00,380,137.52,135.00,136.45,0.00,0.00%,4,209,37.17%
MSFT270115C00390000,2025-12-06 11:44:00,390,128.20,127.50,129.15,0.00,0.00%,5,204,36.43%
MSFT270115C00400000,6/16/2025 1:39 PM,400,123.15,120.45,122.05,0.00,0.00%,18,1.731,35.73%
MSFT270115C00410000,6/17/2025 11:07 AM,410,113.50,113.10,115.10,-2.00,-1.73%,2,1.246,35.04%
MSFT270115C00420000,6/16/2025 1:08 PM,420,109.25,106.45,108.10,0.00,0.00%,7,984,34.27%
MSFT270115C00430000,6/17/2025 12:34 PM,430,102.00,100.30,101.75,-1.00,-0.97%,103,1.633,33.74%
MSFT270115C00440000,6/16/2025 3:04 PM,440,94.63,93.80,95.30,0.00,0.00%,8,550,33.09%
MSFT270115C00450000,6/17/2025 12:24 PM,450,88.74,87.45,89.15,-1.21,-1.35%,101,2.82,32.50%
MSFT270115C00460000,6/16/2025 3:35 PM,460,83.11,81.45,83.10,0.00,0.00%,1,670,31.89%
MSFT270115C00470000,6/17/2025 12:02 PM,470,76.84,76.25,77.25,-0.46,-0.60%,3,233,31.28%
MSFT270115C00480000,6/17/2025 12:02 PM,480,71.36,70.90,71.90,-0.59,-0.82%,5,481,30.82%
MSFT270115C00490000,6/16/2025 11:30 AM,490,67.87,65.65,66.65,0.00,0.00%,2,421,30.32%
MSFT270115C00500000,6/17/2025 10:30 AM,500,60.30,61.00,61.65,-1.25,-2.03%,10,3.751,29.84%
MSFT270115C00510000,6/16/2025 11:30 AM,510,58.07,56.25,56.85,0.00,0.00%,4,1.124,29.36%
MSFT270115C00520000,6/16/2025 11:51 AM,520,53.81,51.85,52.50,0.00,0.00%,12,786,29.00%
MSFT270115C00530000,6/13/2025 2:29 PM,530,46.70,47.65,48.20,0.00,0.00%,8,823,28.56%
MSFT270115C00540000,6/17/2025 11:58 AM,540,44.00,43.75,44.30,-0.54,-1.21%,1,401,28.22%
MSFT270115C00550000,6/17/2025 11:13 AM,550,39.90,40.05,40.60,-1.35,-3.27%,6,1.078,27.87%
MSFT270115C00560000,6/16/2025 10:54 AM,560,37.67,36.65,37.25,0.00,0.00%,1,226,27.59%
MSFT270115C00570000,6/16/2025 12:09 PM,570,34.65,33.45,34.00,0.00,0.00%,1,81,27.28%
MSFT270115C00580000,6/16/2025 12:03 PM,580,31.35,30.50,30.90,0.00,0.00%,2,465,26.94%
MSFT270115C00590000,6/16/2025 12:03 PM,590,28.55,27.75,28.15,0.00,0.00%,2,2.283,26.69%
MSFT270115C00600000,6/17/2025 12:34 PM,600,25.60,25.20,25.55,0.00,0.00%,19,3.632,26.42%
MSFT270115C00610000,2025-12-06 14:08:00,610,23.45,22.85,23.40,0.00,0.00%,7,559,26.29%
MSFT270115C00620000,6/13/2025 10:35 AM,620,20.55,20.75,21.25,0.00,0.00%,2,792,26.08%
MSFT270115C00630000,2025-12-06 14:10:00,630,19.55,18.80,19.30,0.00,0.00%,18,43,25.90%
MSFT270115C00640000,6/16/2025 11:23 AM,640,17.72,17.05,17.50,0.00,0.00%,1,556,25.73%
MSFT270115C00650000,6/17/2025 1:05 PM,650,15.60,15.45,15.85,-0.05,-0.32%,1,2.315,25.57%
MSFT270115C00660000,6/16/2025 11:46 AM,660,14.60,14.00,14.40,0.00,0.00%,6,531,25.45%
MSFT270115C00680000,6/16/2025 11:18 AM,680,11.40,11.45,11.85,-0.48,-4.04%,1,347,25.23%
MSFT270115C00700000,6/16/2025 2:20 PM,700,9.60,9.40,9.75,0.00,0.00%,27,40,25.05%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
MSFT270115P00175000,6/16/2025 3:38 PM,175,1.07,1.01,1.21,0.00,0.00%,15,148,39.88%
MSFT270115P00180000,6/13/2025 11:03 AM,180,1.27,1.13,1.32,0.00,0.00%,30,48,39.38%
MSFT270115P00185000,6/17/2025 12:32 PM,185,1.40,1.26,1.45,0.05,3.70%,1,61,38.95%
MSFT270115P00190000,6/17/2025 12:34 PM,190,1.43,1.39,1.58,-0.01,-0.69%,1,21,38.50%
MSFT270115P00195000,6/16/2025 12:12 PM,195,1.63,1.53,1.73,0.00,0.00%,3,208,38.09%
MSFT270115P00200000,6/16/2025 12:15 PM,200,1.68,1.69,1.88,0.00,0.00%,3,113,37.65%
MSFT270115P00210000,6/13/2025 11:12 AM,210,2.26,2.03,2.20,0.00,0.00%,1,654,36.77%
MSFT270115P00220000,2025-11-06 12:05:00,220,2.42,2.41,2.61,0.00,0.00%,1,400,36.06%
MSFT270115P00230000,2025-06-06 14:09:00,230,3.00,2.84,3.05,0.00,0.00%,25,423,35.31%
MSFT270115P00240000,6/16/2025 10:47 AM,240,3.34,3.30,3.55,0.00,0.00%,1,170,34.58%
MSFT270115P00250000,2025-10-06 12:56:00,250,3.90,3.80,4.10,0.00,0.00%,1,401,33.86%
MSFT270115P00260000,6/17/2025 9:59 AM,260,4.65,4.45,4.65,0.30,6.90%,1,902,33.05%
MSFT270115P00270000,2025-11-06 11:26:00,270,4.90,5.05,5.35,0.00,0.00%,2,274,32.40%
MSFT270115P00280000,6/16/2025 1:29 PM,280,5.70,5.75,6.00,0.00,0.00%,2,739,31.58%
MSFT270115P00290000,2025-12-06 12:46:00,290,6.40,6.55,6.85,0.00,0.00%,2,786,30.96%
MSFT270115P00300000,6/17/2025 11:04 AM,300,7.55,7.40,7.75,0.18,2.44%,2,1.032,30.30%
MSFT270115P00310000,6/16/2025 12:23 PM,310,8.22,8.40,8.70,0.00,0.00%,5,447,29.60%
MSFT270115P00320000,6/17/2025 12:22 PM,320,9.50,9.45,9.80,0.23,2.48%,2,773,28.98%
MSFT270115P00330000,6/16/2025 12:28 PM,330,10.50,10.60,10.95,0.00,0.00%,3,389,28.31%
MSFT270115P00340000,6/17/2025 9:56 AM,340,12.25,11.90,12.15,0.55,4.70%,1,1.943,27.61%
MSFT270115P00350000,6/16/2025 12:12 PM,350,13.02,13.35,13.75,0.00,0.00%,6,3.08,27.13%
MSFT270115P00360000,6/16/2025 2:06 PM,360,14.72,14.90,15.30,0.00,0.00%,2,881,26.51%
MSFT270115P00370000,2025-12-06 15:20:00,370,16.45,16.65,17.05,0.00,0.00%,30,482,25.94%
MSFT270115P00380000,2025-12-06 11:10:00,380,18.70,18.55,18.95,0.30,1.63%,1,1.889,25.37%
MSFT270115P00390000,6/16/2025 11:17 AM,390,20.20,20.70,21.05,0.00,0.00%,1,570,24.83%
MSFT270115P00400000,6/17/2025 11:10 AM,400,23.05,23.00,23.40,0.65,2.90%,2,775,24.33%
MSFT270115P00410000,6/17/2025 12:24 PM,410,25.56,25.40,25.90,0.86,3.48%,100,730,23.80%
MSFT270115P00420000,6/16/2025 11:23 AM,420,27.47,28.20,28.55,0.00,0.00%,2,993,23.25%
MSFT270115P00430000,6/17/2025 12:49 PM,430,31.24,31.10,31.55,0.59,1.92%,105,494,22.76%
MSFT270115P00440000,6/17/2025 9:59 AM,440,35.05,34.30,34.70,1.40,4.16%,63,448,22.23%
MSFT270115P00450000,6/16/2025 12:28 PM,450,38.25,37.70,38.25,1.10,2.96%,1,735,21.78%
MSFT270115P00460000,6/17/2025 11:13 AM,460,41.65,41.40,42.00,0.51,1.24%,1,268,21.30%
MSFT270115P00470000,2025-12-06 13:59:00,470,45.75,45.50,46.00,1.10,2.46%,1,201,20.80%
MSFT270115P00480000,6/17/2025 11:13 AM,480,49.95,49.60,50.30,1.10,2.25%,1,464,20.31%
MSFT270115P00490000,6/13/2025 1:04 PM,490,54.74,54.15,54.80,0.00,0.00%,3,366,19.78%
MSFT270115P00500000,6/16/2025 2:34 PM,500,58.69,59.00,59.70,0.00,0.00%,1,1.519,19.28%
MSFT270115P00510000,2025-12-06 09:38:00,510,65.55,64.20,64.95,0.00,0.00%,3,36,18.80%
MSFT270115P00520000,2025-12-06 09:38:00,520,71.15,69.65,70.45,0.00,0.00%,3,581,18.27%
MSFT270115P00530000,2025-10-06 09:37:00,530,78.35,75.40,76.25,0.00,0.00%,2,350,17.72%
MSFT270115P00540000,2025-12-05 12:57:00,540,102.95,81.50,86.50,0.00,0.00%,6,95,19.05%
MSFT270115P00550000,6/13/2025 9:30 AM,550,89.20,87.90,88.80,0.00,0.00%,5,109,16.54%
MSFT270115P00560000,2025-12-05 12:46:00,560,118.65,95.20,99.75,0.00,0.00%,72,0,18.06%
MSFT270115P00570000,5/22/2025 12:16 PM,570,118.38,101.15,103.30,0.00,0.00%,4,392,15.58%
MSFT270115P00580000,6/16/2025 12:52 PM,580,107.67,109.35,110.55,0.00,0.00%,1,609,14.75%
MSFT270115P00590000,2025-11-06 13:11:00,590,118.58,117.10,118.65,0.00,0.00%,30,61,14.20%
MSFT270115P00600000,2025-11-06 13:11:00,600,127.06,125.25,127.15,0.00,0.00%,30,45,13.69%
MSFT270115P00610000,2025-12-06 10:41:00,610,134.60,133.70,135.65,0.00,0.00%,1,4,12.81%
MSFT270115P00620000,2025-12-05 15:38:00,620,173.43,145.25,149.05,0.00,0.00%,4,0,16.72%
MSFT270115P00640000,1/28/2025 10:53 AM,640,199.21,240.50,245.50,0.00,0.00%,14,0,53.91%
MSFT270115P00650000,2/18/2025 1:34 PM,650,242.75,262.00,266.50,0.00,0.00%,2,0,59.54%
MSFT270115P00660000,5/27/2025 3:54 PM,660,200.00,180.05,184.95,0.00,0.00%,-,0,14.78%
MSFT270115P00680000,2025-03-06 13:37:00,680,216.70,200.55,205.45,0.00,0.00%,-,0,16.64%
