Calls,"Jun 17, 2025 8:19pm",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA251017C00005000,2025-11-06 14:01:00,5,137.82,138.20,141.15,0.00,0.00%,2,3,290.63%
NVDA251017C00015000,2025-01-05 09:45:00,15,98.50,118.60,122.10,0.00,0.00%,1,1,0.00%
NVDA251017C00025000,4/23/2025 1:32 PM,25,79.89,105.10,108.85,0.00,0.00%,1,2,0.00%
NVDA251017C00030000,6/17/2025 12:55 PM,30,114.88,114.20,115.75,0.50,0.44%,50,115,143.85%
NVDA251017C00035000,2025-04-06 10:14:00,35,106.43,109.05,111.85,0.00,0.00%,10,21,145.12%
NVDA251017C00040000,2025-12-06 13:01:00,40,104.71,104.20,106.75,0.00,0.00%,3,11,132.57%
NVDA251017C00045000,2025-07-04 11:14:00,45,53.85,72.15,73.45,0.00,0.00%,-,1,0.00%
NVDA251017C00050000,2025-10-06 09:53:00,50,93.29,94.75,96.70,0.00,0.00%,17,228,115.82%
NVDA251017C00055000,5/21/2025 9:55 AM,55,80.95,89.95,91.40,0.00,0.00%,2,149,105.47%
NVDA251017C00060000,2025-02-06 11:45:00,60,78.44,84.90,86.40,0.00,0.00%,89,256,96.48%
NVDA251017C00065000,2025-05-06 15:22:00,65,75.48,80.30,81.35,0.00,0.00%,8,125,91.26%
NVDA251017C00070000,6/13/2025 9:36 AM,70,74.10,75.50,76.75,0.00,0.00%,1,775,87.67%
NVDA251017C00075000,6/17/2025 12:08 PM,75,71.66,70.10,71.40,-0.09,-0.13%,1,657,76.00%
NVDA251017C00080000,2025-10-06 15:56:00,80,65.55,65.70,66.60,0.00,0.00%,2,7.981,74.07%
NVDA251017C00085000,6/16/2025 11:15 AM,85,62.64,61.10,62.00,0.00,0.00%,1,868,71.51%
NVDA251017C00090000,6/17/2025 11:43 AM,90,56.86,56.45,58.00,-0.70,-1.22%,1,745,70.61%
NVDA251017C00095000,6/16/2025 2:33 PM,95,52.80,51.75,52.75,0.00,0.00%,17,3.85,64.48%
NVDA251017C00100000,6/17/2025 1:39 PM,100,48.00,47.50,47.75,0.30,0.63%,32,12.025,60.84%
NVDA251017C00105000,6/17/2025 12:17 PM,105,43.70,43.05,43.40,-0.33,-0.75%,19,7.284,58.29%
NVDA251017C00110000,6/17/2025 1:32 PM,110,39.25,39.00,39.15,-0.15,-0.38%,10,7.954,56.57%
NVDA251017C00115000,6/17/2025 1:19 PM,115,35.05,34.75,34.90,0.40,1.15%,58,7.966,53.82%
NVDA251017C00120000,6/17/2025 1:24 PM,120,31.30,30.80,30.95,0.35,1.13%,119,13.78,51.87%
NVDA251017C00125000,6/17/2025 1:24 PM,125,27.62,27.15,27.25,0.36,1.32%,60,9.632,50.39%
NVDA251017C00130000,6/17/2025 1:24 PM,130,24.15,23.65,23.80,0.40,1.68%,71,14.276,49.19%
NVDA251017C00135000,6/17/2025 1:25 PM,135,20.85,20.45,20.55,0.35,1.71%,57,17.443,47.79%
NVDA251017C00140000,6/17/2025 1:35 PM,140,17.80,17.50,17.65,0.35,2.01%,1.142,17.138,46.79%
NVDA251017C00145000,6/17/2025 1:36 PM,145,15.20,15.00,15.05,0.35,2.36%,415,8.181,45.97%
NVDA251017C00150000,6/17/2025 1:42 PM,150,12.75,12.50,12.60,0.30,2.41%,488,17.577,44.85%
NVDA251017C00155000,6/17/2025 1:43 PM,155,10.65,10.50,10.55,0.20,1.91%,349,5.664,44.20%
NVDA251017C00160000,6/17/2025 1:25 PM,160,8.94,8.75,8.85,0.24,2.76%,173,12.039,43.90%
NVDA251017C00165000,6/17/2025 1:42 PM,165,7.30,7.20,7.25,0.05,0.69%,86,15.583,43.21%
NVDA251017C00170000,6/17/2025 1:39 PM,170,6.00,5.95,6.00,0.10,1.69%,194,8.167,42.98%
NVDA251017C00175000,6/17/2025 1:27 PM,175,5.00,4.85,4.90,0.00,0.00%,7,9.029,42.63%
NVDA251017C00180000,6/17/2025 1:18 PM,180,4.08,4.00,4.10,0.14,3.55%,89,7.752,42.81%
NVDA251017C00185000,6/17/2025 1:24 PM,185,3.35,3.30,3.35,-0.04,-1.18%,69,3.144,42.66%
NVDA251017C00190000,6/17/2025 1:07 PM,190,2.69,2.69,2.72,-0.05,-1.82%,31,6.4,42.50%
NVDA251017C00195000,6/17/2025 9:56 AM,195,2.21,2.20,2.24,-0.10,-4.33%,2,6.363,42.58%
NVDA251017C00200000,6/17/2025 12:24 PM,200,1.86,1.83,1.85,-0.02,-1.06%,33,14.621,42.70%
NVDA251017C00210000,6/17/2025 1:31 PM,210,1.29,1.26,1.30,-0.01,-0.77%,1,6.142,43.27%
NVDA251017C00220000,6/16/2025 3:49 PM,220,0.90,0.90,0.92,0.00,0.00%,60,876,43.85%
NVDA251017C00230000,6/16/2025 2:05 PM,230,0.67,0.66,0.68,-0.02,-2.90%,2,1.704,44.70%
NVDA251017C00240000,6/17/2025 1:18 PM,240,0.50,0.49,0.51,-0.03,-5.66%,16,860,45.53%
NVDA251017C00250000,6/17/2025 9:35 AM,250,0.38,0.37,0.39,-0.04,-9.52%,7,1.142,46.41%
NVDA251017C00260000,6/17/2025 12:35 PM,260,0.30,0.29,0.30,0.01,3.45%,11,18.77,47.22%
NVDA251017C00270000,6/16/2025 9:55 AM,270,0.22,0.23,0.25,0.00,0.00%,1,12.606,48.44%
NVDA251017C00280000,6/17/2025 11:56 AM,280,0.18,0.18,0.19,-0.01,-5.26%,28,9.413,48.98%
NVDA251017C00290000,6/16/2025 3:43 PM,290,0.15,0.15,0.17,0.00,0.00%,13,2.792,50.05%
NVDA251017C00300000,6/17/2025 12:29 PM,300,0.12,0.12,0.14,-0.01,-7.69%,5,24.422,50.78%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
NVDA251017P00005000,2025-12-06 15:26:00,5,0.01,0.00,0.01,0.00,0.00%,1.35,2.047,181.25%
NVDA251017P00010000,2025-09-05 09:52:00,10,0.01,0.00,0.02,0.00,0.00%,19,1.038,150.00%
NVDA251017P00015000,5/28/2025 3:41 PM,15,0.02,0.00,0.01,0.00,0.00%,3.55,4.531,118.75%
NVDA251017P00020000,2025-11-06 12:54:00,20,0.01,0.00,0.01,0.00,0.00%,60,2.551,106.25%
NVDA251017P00025000,6/16/2025 2:18 PM,25,0.02,0.01,0.02,0.00,0.00%,25,2.824,101.56%
NVDA251017P00030000,6/17/2025 11:35 AM,30,0.02,0.02,0.03,-0.01,-33.33%,4,806,96.09%
NVDA251017P00035000,2025-03-06 12:10:00,35,0.06,0.03,0.04,0.00,0.00%,31,125,89.45%
NVDA251017P00040000,6/16/2025 11:01 AM,40,0.05,0.04,0.05,0.00,0.00%,1,158,83.59%
NVDA251017P00045000,6/13/2025 12:13 PM,45,0.08,0.05,0.07,0.00,0.00%,100,734,78.52%
NVDA251017P00050000,6/17/2025 10:01 AM,50,0.09,0.08,0.10,0.00,0.00%,1,616,75.20%
NVDA251017P00055000,6/13/2025 9:33 AM,55,0.13,0.12,0.13,0.00,0.00%,100,1.953,71.68%
NVDA251017P00060000,6/17/2025 12:38 PM,60,0.17,0.16,0.17,0.00,0.00%,1,1.797,67.97%
NVDA251017P00065000,6/16/2025 1:39 PM,65,0.22,0.21,0.23,0.00,0.00%,13,5.659,64.84%
NVDA251017P00070000,6/17/2025 11:37 AM,70,0.30,0.29,0.31,0.00,0.00%,7,12.999,62.21%
NVDA251017P00075000,6/17/2025 11:02 AM,75,0.39,0.38,0.40,0.00,0.00%,1,11.168,59.33%
NVDA251017P00080000,6/17/2025 1:06 PM,80,0.52,0.51,0.53,-0.01,-1.89%,98,18.135,56.93%
NVDA251017P00085000,6/17/2025 11:37 AM,85,0.68,0.68,0.71,-0.01,-1.45%,3,14.794,54.81%
NVDA251017P00090000,6/17/2025 1:44 PM,90,0.91,0.91,0.93,0.00,0.00%,9,19.901,52.78%
NVDA251017P00095000,6/17/2025 10:51 AM,95,1.18,1.21,1.23,-0.02,-1.67%,2,18.494,50.96%
NVDA251017P00100000,6/17/2025 12:56 PM,100,1.60,1.62,1.64,0.00,0.00%,67,44.483,49.55%
NVDA251017P00105000,6/17/2025 1:12 PM,105,2.07,2.12,2.15,0.00,0.00%,161,13.854,48.02%
NVDA251017P00110000,6/17/2025 1:16 PM,110,2.71,2.75,2.78,0.00,0.00%,162,27.484,46.52%
NVDA251017P00115000,6/17/2025 1:26 PM,115,3.50,3.55,3.60,-0.05,-1.41%,57,8.825,45.27%
NVDA251017P00120000,6/17/2025 1:14 PM,120,4.50,4.50,4.60,0.00,0.00%,64,21.524,44.05%
NVDA251017P00125000,6/17/2025 1:16 PM,125,5.71,5.80,5.85,-0.03,-0.52%,96,3.77,43.03%
NVDA251017P00130000,6/17/2025 1:43 PM,130,7.20,7.25,7.35,0.05,0.70%,46,20.344,42.08%
NVDA251017P00135000,6/17/2025 1:24 PM,135,8.80,9.00,9.05,0.05,0.57%,229,9.308,40.96%
NVDA251017P00140000,6/17/2025 1:26 PM,140,10.80,10.95,11.05,-0.15,-1.37%,90,15.201,39.95%
NVDA251017P00145000,6/17/2025 1:12 PM,145,13.13,13.30,13.45,-0.13,-0.98%,57,5.888,39.30%
NVDA251017P00150000,6/17/2025 12:58 PM,150,15.95,15.85,15.95,0.36,2.31%,94,9.147,38.07%
NVDA251017P00155000,6/17/2025 11:39 AM,155,18.55,18.85,19.00,0.30,1.64%,11,399,37.62%
NVDA251017P00160000,6/17/2025 1:25 PM,160,21.75,22.10,22.25,-0.16,-0.73%,15,1.035,36.91%
NVDA251017P00165000,6/13/2025 2:49 PM,165,25.35,25.45,25.60,-2.80,-9.95%,1,501,35.63%
NVDA251017P00170000,6/17/2025 11:10 AM,170,29.00,29.25,29.60,0.75,2.65%,1,140,35.74%
NVDA251017P00175000,6/16/2025 9:47 AM,175,33.75,33.10,33.50,0.00,0.00%,1,257,34.65%
NVDA251017P00180000,6/16/2025 11:53 AM,180,36.50,37.30,37.65,0.00,0.00%,79,178,33.66%
NVDA251017P00185000,6/17/2025 1:34 PM,185,41.45,41.65,41.95,-0.20,-0.48%,37,233,32.35%
NVDA251017P00190000,6/17/2025 1:33 PM,190,45.90,46.25,46.50,0.10,0.22%,149,382,31.52%
NVDA251017P00195000,2025-11-06 15:07:00,195,53.28,50.55,51.35,0.00,0.00%,1,12,32.40%
NVDA251017P00200000,5/22/2025 10:54 AM,200,67.50,55.35,56.10,0.00,0.00%,3,11,31.79%
NVDA251017P00210000,5/23/2025 3:23 PM,210,78.69,65.05,66.00,0.00,0.00%,1,0,34.08%
NVDA251017P00220000,5/29/2025 9:58 AM,220,78.50,75.10,76.00,0.00,0.00%,2,0,37.45%
NVDA251017P00240000,2025-07-01 12:14:00,240,99.10,109.60,110.90,0.00,0.00%,-,1,112.23%
NVDA251017P00270000,1/23/2025 2:04 PM,270,124.11,134.75,138.00,0.00,0.00%,1,0,110.75%
NVDA251017P00280000,4/17/2025 1:06 PM,280,178.65,144.35,145.10,0.00,0.00%,60,0,107.95%
NVDA251017P00290000,1/23/2025 2:08 PM,290,143.26,152.00,157.00,0.00,0.00%,15,0,110.33%
NVDA251017P00300000,5/16/2025 10:29 AM,300,164.57,155.05,156.00,0.00,0.00%,1,0,58.50%
