number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.6650817484150818,2025-07-07 00:08:35.140422,2025-07-07 00:08:35.232518,0 days 00:00:00.092096,0.02071443010608581,COMPLETE
1,0.649390710154599,2025-07-07 00:08:35.233091,2025-07-07 00:08:35.457052,0 days 00:00:00.223961,1.299297078578664,COMPLETE
2,0.6671550022244466,2025-07-07 00:08:35.458276,2025-07-07 00:08:35.509453,0 days 00:00:00.051177,0.004128498219488585,COMPLETE
3,0.650002432988544,2025-07-07 00:08:35.510000,2025-07-07 00:08:35.720797,0 days 00:00:00.210797,0.5434638404059345,COMPLETE
4,0.6512119758647538,2025-07-07 00:08:35.721271,2025-07-07 00:08:35.899352,0 days 00:00:00.178081,0.3066884516503729,COMPLETE
5,0.6675720859748638,2025-07-07 00:08:35.899797,2025-07-07 00:08:36.072060,0 days 00:00:00.172263,0.012008557246833262,COMPLETE
6,0.6544600155711265,2025-07-07 00:08:36.072708,2025-07-07 00:08:36.174919,0 days 00:00:00.102211,0.12916181415668335,COMPLETE
7,0.6676972110999889,2025-07-07 00:08:36.175889,2025-07-07 00:08:36.240981,0 days 00:00:00.065092,0.011670406110069203,COMPLETE
8,0.6496426982538094,2025-07-07 00:08:36.241440,2025-07-07 00:08:36.829046,0 days 00:00:00.587606,4.673193249114278,COMPLETE
9,0.6596005727950173,2025-07-07 00:08:36.829993,2025-07-07 00:08:36.892527,0 days 00:00:00.062534,0.049547033781100286,COMPLETE
10,0.6564846096096096,2025-07-07 00:08:36.892901,2025-07-07 00:08:36.926361,0 days 00:00:00.033460,0.0011451205412668709,COMPLETE
11,0.667921393615838,2025-07-07 00:08:36.926736,2025-07-07 00:08:37.009243,0 days 00:00:00.082507,0.010147270219647194,COMPLETE
12,0.6675112612612614,2025-07-07 00:08:37.010001,2025-07-07 00:08:37.100720,0 days 00:00:00.090719,0.0045543065396437335,COMPLETE
13,0.6564220470470471,2025-07-07 00:08:37.101098,2025-07-07 00:08:37.136110,0 days 00:00:00.035012,0.0011422859650205156,COMPLETE
14,0.6620005422088755,2025-07-07 00:08:37.136522,2025-07-07 00:08:37.194559,0 days 00:00:00.058037,0.03393972961125019,COMPLETE
15,0.6680534701368034,2025-07-07 00:08:37.194910,2025-07-07 00:08:37.243725,0 days 00:00:00.048815,0.006683789622585659,COMPLETE
16,0.6673131464798132,2025-07-07 00:08:37.244138,2025-07-07 00:08:37.296490,0 days 00:00:00.052352,0.004341293332920722,COMPLETE
17,0.6557929457235013,2025-07-07 00:08:37.297050,2025-07-07 00:08:37.406023,0 days 00:00:00.108973,0.09608646775472816,COMPLETE
18,0.6660514681348015,2025-07-07 00:08:37.406500,2025-07-07 00:08:37.461677,0 days 00:00:00.055177,0.0031182713528757674,COMPLETE
19,0.6676972110999889,2025-07-07 00:08:37.462391,2025-07-07 00:08:37.541040,0 days 00:00:00.078649,0.011576669267398802,COMPLETE
20,0.6496774552330108,2025-07-07 00:08:37.541884,2025-07-07 00:08:38.216623,0 days 00:00:00.674739,8.924990947375674,COMPLETE
21,0.6679335585585585,2025-07-07 00:08:38.216987,2025-07-07 00:08:38.290903,0 days 00:00:00.073916,0.010510656907474198,COMPLETE
22,0.6680465187409631,2025-07-07 00:08:38.292193,2025-07-07 00:08:38.358277,0 days 00:00:00.066084,0.008308505574394597,COMPLETE
23,0.6604521187854522,2025-07-07 00:08:38.358648,2025-07-07 00:08:38.478040,0 days 00:00:00.119392,0.04417740790131487,COMPLETE
24,0.6626452841730619,2025-07-07 00:08:38.478669,2025-07-07 00:08:38.514730,0 days 00:00:00.036061,0.0020320050531145786,COMPLETE
25,0.6679596262929596,2025-07-07 00:08:38.515608,2025-07-07 00:08:38.557103,0 days 00:00:00.041495,0.006431707205861379,COMPLETE
26,0.6643622789456122,2025-07-07 00:08:38.557470,2025-07-07 00:08:38.645874,0 days 00:00:00.088404,0.023583310278543948,COMPLETE
27,0.6629563591369148,2025-07-07 00:08:38.646289,2025-07-07 00:08:38.690474,0 days 00:00:00.044185,0.0020882952226371817,COMPLETE
28,0.6680447808920031,2025-07-07 00:08:38.691189,2025-07-07 00:08:38.745709,0 days 00:00:00.054520,0.006651270216100319,COMPLETE
29,0.6650643699254811,2025-07-07 00:08:38.746406,2025-07-07 00:08:38.806889,0 days 00:00:00.060483,0.020882903423525175,COMPLETE
