number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,-0.19795089607266503,2025-07-06 18:59:57.409065,2025-07-06 18:59:57.941551,0 days 00:00:00.532486,12,log2,137,COMPLETE
1,-0.23642511931904395,2025-07-06 18:59:57.942050,2025-07-06 18:59:58.543471,0 days 00:00:00.601421,17,sqrt,135,COMPLETE
2,-0.6529173474127632,2025-07-06 18:59:58.543951,2025-07-06 18:59:59.885966,0 days 00:00:01.342015,17,,143,COMPLETE
3,-0.23534207215871716,2025-07-06 18:59:59.886407,2025-07-06 19:00:00.669217,0 days 00:00:00.782810,15,log2,185,COMPLETE
4,-0.04052726614438976,2025-07-06 19:00:00.669739,2025-07-06 19:00:00.968437,0 days 00:00:00.298698,3,log2,145,COMPLETE
5,-0.44614446023109006,2025-07-06 19:00:00.968916,2025-07-06 19:00:02.316705,0 days 00:00:01.347789,7,,234,COMPLETE
6,-0.23255986121622643,2025-07-06 19:00:02.317185,2025-07-06 19:00:02.740955,0 days 00:00:00.423770,18,sqrt,91,COMPLETE
7,-0.11667601141506496,2025-07-06 19:00:02.741401,2025-07-06 19:00:03.021956,0 days 00:00:00.280555,6,log2,102,COMPLETE
8,-0.5560697185267963,2025-07-06 19:00:03.022400,2025-07-06 19:00:04.003994,0 days 00:00:00.981594,9,,145,COMPLETE
9,-0.21576698960704496,2025-07-06 19:00:04.004468,2025-07-06 19:00:04.360047,0 days 00:00:00.355579,5,,76,COMPLETE
10,-0.04130849408075007,2025-07-06 19:00:04.360486,2025-07-06 19:00:04.923890,0 days 00:00:00.563404,3,log2,274,COMPLETE
11,-0.04013700347405617,2025-07-06 19:00:04.924382,2025-07-06 19:00:05.545812,0 days 00:00:00.621430,3,log2,300,COMPLETE
12,-0.03985124236901146,2025-07-06 19:00:05.546292,2025-07-06 19:00:06.165318,0 days 00:00:00.619026,3,log2,298,COMPLETE
13,-0.17495324215549046,2025-07-06 19:00:06.165763,2025-07-06 19:00:07.228017,0 days 00:00:01.062254,10,log2,298,COMPLETE
14,-0.2153548443067658,2025-07-06 19:00:07.228466,2025-07-06 19:00:08.164376,0 days 00:00:00.935910,13,log2,232,COMPLETE
15,-0.1380504178272369,2025-07-06 19:00:08.164823,2025-07-06 19:00:08.947524,0 days 00:00:00.782701,8,log2,251,COMPLETE
16,-0.09020565920854857,2025-07-06 19:00:08.947978,2025-07-06 19:00:09.453713,0 days 00:00:00.505735,5,sqrt,199,COMPLETE
17,-0.03980458407114695,2025-07-06 19:00:09.454203,2025-07-06 19:00:10.198773,0 days 00:00:00.744570,3,log2,293,COMPLETE
18,-0.2575300193744914,2025-07-06 19:00:10.199305,2025-07-06 19:00:11.498831,0 days 00:00:01.299526,20,log2,269,COMPLETE
19,-0.1702869549415841,2025-07-06 19:00:11.499286,2025-07-06 19:00:12.216835,0 days 00:00:00.717549,10,sqrt,204,COMPLETE
20,-0.08383710065905807,2025-07-06 19:00:12.217282,2025-07-06 19:00:12.906248,0 days 00:00:00.688966,5,log2,275,COMPLETE
21,-0.03992019487648202,2025-07-06 19:00:12.906691,2025-07-06 19:00:13.526725,0 days 00:00:00.620034,3,log2,297,COMPLETE
22,-0.039364915949963754,2025-07-06 19:00:13.527163,2025-07-06 19:00:14.052113,0 days 00:00:00.524950,3,log2,253,COMPLETE
23,-0.08869883601089623,2025-07-06 19:00:14.052551,2025-07-06 19:00:14.666678,0 days 00:00:00.614127,5,log2,245,COMPLETE
24,-0.12001139603495337,2025-07-06 19:00:14.667127,2025-07-06 19:00:15.446057,0 days 00:00:00.778930,7,log2,266,COMPLETE
25,-0.058789122016737506,2025-07-06 19:00:15.446524,2025-07-06 19:00:15.937219,0 days 00:00:00.490695,4,log2,218,COMPLETE
26,-0.11756251792880874,2025-07-06 19:00:15.937690,2025-07-06 19:00:16.768966,0 days 00:00:00.831276,7,log2,283,COMPLETE
27,-0.09119776853034933,2025-07-06 19:00:16.769409,2025-07-06 19:00:17.451912,0 days 00:00:00.682503,6,log2,254,COMPLETE
28,-0.05479474264763592,2025-07-06 19:00:17.452334,2025-07-06 19:00:18.104916,0 days 00:00:00.652582,4,sqrt,283,COMPLETE
29,-0.6413783808925796,2025-07-06 19:00:18.105358,2025-07-06 19:00:19.950516,0 days 00:00:01.845158,12,,224,COMPLETE
